date,ride_type,line,station,lat,lon,hour_05,hour_06,hour_07,hour_08,hour_09,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23
2022-01-01,승차,1호선,서울역,37.55315,126.972533,322,614,1014.0,2372,3683,3942,4151,4952,4666,3862,4591,4154,5913,3889.0,3519,2765,3127,3075,2854
2022-01-01,하차,1호선,서울역,37.55315,126.972533,297,1511,1800.0,2462,3130,3700,3514,5596,4371,4534,5471,4572,4903,4075.0,3296,2484,2985,2262,1457
2022-01-01,승차,1호선,시청역,37.56359,126.975407,61,94,142.0,236,362,500,459,631,869,1032,1043,1223,1473,1167.0,1121,1109,1055,727,213
2022-01-01,하차,1호선,시청역,37.56359,126.975407,74,688,471.0,725,1081,1105,1553,1412,1388,1101,909,1078,821,728.0,350,308,255,220,211
2022-01-01,승차,2호선,강남역,37.497958,127.027539,317,480,566.0,846,1268,1884,2757,3483,4014,5030,5297,6462,6065,3630.0,3665,3742,3970,5011,2129
2022-01-01,하차,2호선,강남역,37.497958,127.027539,244,1097,1068.0,2844,6435,4678,3798,4144,4465,4462,4005,4186,4717,3859.0,2187,2292,2258,1833,925
2022-01-01,승차,2호선,사당역,37.476536,126.981631,334,622,851.0,1409,1946,1971,2043,2091,2558,2812,2585,2586,2325,2271.0,2300,2549,2861,3109,1424
2022-01-01,하차,2호선,사당역,37.476536,126.981631,120,1157,862.0,1155,1426,1588,2463,2562,2677,2294,2512,3500,4225,3444.0,2566,2135,2478,2272,1533
2022-01-01,승차,2호선,삼성역,37.508827,127.063203,226,180,230.0,305,412,573,1007,1364,2158,2657,2878,4122,4116,3286.0,3023,3139,3261,1648,412
2022-01-01,하차,2호선,삼성역,37.508827,127.063203,106,1096,1006.0,1457,2502,2913,3095,3207,3601,3240,3112,2346,2533,1488.0,890,655,586,400,196
2022-01-01,승차,5호선,광화문역,37.570545,126.976568,38,72,141.0,206,284,338,643,974,1078,1554,1793,2417,3136,2358.0,1867,2117,1884,1417,335
2022-01-01,하차,5호선,광화문역,37.570545,126.976568,18,699,534.0,914,1312,1625,2509,2474,2795,2234,1980,2082,2049,1237.0,679,345,290,134,99
2022-01-01,승차,6호선,이태원역,37.534485,126.994369,983,510,295.0,259,294,333,392,467,415,584,786,1004,903,848.0,876,902,1186,1263,950
2022-01-01,하차,6호선,이태원역,37.534485,126.994369,113,451,196.0,245,381,563,607,661,738,811,819,1090,1173,1427.0,1641,1247,1518,1684,1472
2022-01-02,승차,1호선,서울역,37.55315,126.972533,197,379,642.0,1300,2157,2755,3096,3701,3814,2980,4310,3347,3807,3435.0,3578,2646,3399,4037,3457
2022-01-02,하차,1호선,서울역,37.55315,126.972533,176,965,1191.0,1707,2232,2608,3062,3239,4237,5003,5112,4785,4232,3490.0,3216,2534,2152,1548,863
2022-01-02,승차,1호선,시청역,37.56359,126.975407,37,62,118.0,188,245,377,409,1029,1027,1053,983,1104,1062,899.0,753,707,563,395,104
2022-01-02,하차,1호선,시청역,37.56359,126.975407,79,293,423.0,792,1146,1518,1285,965,795,886,674,572,440,335.0,207,222,176,232,217
2022-01-02,승차,2호선,강남역,37.497958,127.027539,259,370,412.0,529,821,1017,1388,1834,1934,2578,2337,2954,3014,2779.0,2336,2664,3081,2639,1145
2022-01-02,하차,2호선,강남역,37.497958,127.027539,101,496,547.0,1169,2303,1963,2002,2537,2905,2514,2536,2343,2749,2555.0,1955,1524,1241,1305,655
2022-01-02,승차,2호선,사당역,37.476536,126.981631,241,375,490.0,751,1255,1209,1422,1680,1846,2015,1891,1764,1768,1536.0,1640,1612,1621,1317,563
2022-01-02,하차,2호선,사당역,37.476536,126.981631,68,926,503.0,629,846,1268,1723,1549,1576,1433,1941,2127,2342,2365.0,1642,1751,1937,1653,859
2022-01-02,승차,2호선,삼성역,37.508827,127.063203,178,137,173.0,224,303,620,535,1041,1441,1677,2016,2918,3174,2702.0,2114,2551,1992,1287,291
2022-01-02,하차,2호선,삼성역,37.508827,127.063203,74,516,738.0,1212,1778,1755,2338,2464,2639,2336,1915,1697,1514,945.0,781,546,456,353,181
2022-01-02,승차,5호선,광화문역,37.570545,126.976568,27,59,70.0,140,202,312,473,1188,1366,1753,1669,1846,1918,2509.0,1200,1269,1055,571,143
2022-01-02,하차,5호선,광화문역,37.570545,126.976568,11,326,381.0,926,1499,2051,1696,1813,2179,2016,1420,1153,950,745.0,473,281,189,101,77
2022-01-02,승차,6호선,이태원역,37.534485,126.994369,1283,754,395.0,235,277,324,322,378,456,491,519,585,550,721.0,632,681,757,743,356
2022-01-02,하차,6호선,이태원역,37.534485,126.994369,60,166,153.0,158,246,440,434,554,661,616,658,613,837,670.0,582,564,434,476,373
2022-01-03,승차,1호선,서울역,37.55315,126.972533,388,1280,4123.0,5580,3302,2658,3349,3551,3358,2764,3659,3938,8013,9257.0,4287,2861,2981,1820,788
2022-01-03,하차,1호선,서울역,37.55315,126.972533,389,2244,5407.0,9733,6770,2777,3141,2582,2626,2553,2836,3023,4286,5541.0,3432,1946,2013,1356,682
2022-01-03,승차,1호선,시청역,37.56359,126.975407,52,156,234.0,360,414,457,689,708,819,1089,1412,1726,3820,6531.0,2112,1839,1477,1000,322
2022-01-03,하차,1호선,시청역,37.56359,126.975407,237,1065,3231.0,8459,2998,1391,1150,908,1012,761,619,639,671,625.0,340,257,233,172,79
2022-01-03,승차,2호선,강남역,37.497958,127.027539,185,598,1600.0,2566,1988,1828,2537,2663,3754,3750,4451,5714,10487,14302.0,8918,7153,7026,5464,1815
2022-01-03,하차,2호선,강남역,37.497958,127.027539,433,2216,7695.0,14129,13978,5850,3675,3336,3514,3401,3221,3411,4496,5882.0,3026,1739,1448,1033,505
2022-01-03,승차,2호선,사당역,37.476536,126.981631,494,1365,3650.0,3968,2955,1583,1292,1522,1536,1531,1714,1941,2766,3833.0,2084,1860,1872,1655,782
