carrier,weathertype,huboriginsize,origin,destination,distance,weatherspeed,gustsummary,isweekend,isholiday,taxiout,taxiin,scheduledelapsed,arrprevdelay,depvisibility,temperature,month,hour,depdelay
A,Storm,M,CJU,TAE,550.7462674425071,9.692544056054262,0,1,0,22.23789108210301,14.428829027136626,120.61107918527352,11.02041951504598,8.700309930659095,4.188612210110645,3,8,10.69
C,Clear,L,CJU,GMP,847.9638572971298,13.929117286481889,0,1,0,23.46517968932328,9.171619026791896,151.34291785390678,-15.468226480667589,8.28207508452586,14.171997128432247,6,15,8.28
D,Storm,M,GMP,GMP,676.1980331764275,11.228448012597603,1,1,0,21.909416979172413,6.658538528601958,102.91822830609937,-21.276137117783005,12.229476948610705,-1.0542227766884047,7,10,14.43
A,Clear,M,GMP,CJU,725.8412155089896,8.090339223559564,0,0,0,15.231210779120108,6.978108049922107,82.05952162648671,1.3953687563952897,6.835633379739098,17.506741943406073,6,5,-2.21
A,Fog,S,PUS,CJU,593.4953944342672,18.5680146897277,0,0,0,28.33787187450001,7.469044845225938,85.88082583221008,13.455578719059524,8.149568089709737,18.954027818596614,12,17,25.67
E,Rain,M,CJU,PUS,705.749200207849,24.870785266450977,0,0,0,22.752340175600196,8.90304074011704,67.5799184246278,4.416179756218886,3.311519679555107,23.236840566691917,5,5,16.78
B,Clear,M,CJU,ICN,634.406140568843,17.297974678771862,1,0,0,26.16017590793607,6.291702391989097,113.50278611474045,11.850236378397648,10.64017472798746,35.6948139407744,6,21,-32.72
C,Fog,M,GMP,PUS,636.1156894804749,19.91540484959913,0,0,0,20.78759029828249,14.439627600570777,90.62232223267262,0.8152713192881895,11.64370890543809,6.747197103877181,12,20,7.73
A,Clear,L,TAE,CJU,419.6522053791472,20.570455282896877,0,1,0,9.571937952547485,10.155786038593968,135.37335876575654,-5.659065404221161,12.88386324907507,13.5002070739732,11,12,-26.46
D,Clear,M,TAE,PUS,653.6148861851437,5.332205713743587,0,0,0,19.338029350654537,8.885367300270728,85.09447986327757,2.019967244924469,8.678361091814972,31.383627009220668,1,23,-3.23
D,Clear,L,GMP,GMP,606.3956634308522,12.766857057756422,0,1,0,18.39342826435978,15.453243394020442,78.2487327469431,-0.9806728430939232,10.423011753180024,23.60456997718557,6,13,-0.98
C,Clear,L,GMP,GMP,835.2324557816054,3.172845423026571,1,0,0,22.28929697596373,6.900528296042179,173.22031833740766,-19.518747743068843,4.214289498230902,30.60057074118195,6,19,-10.57
E,Clear,L,PUS,CJU,528.204464624608,23.29205766438582,0,0,0,15.110331948510677,9.212925064885754,43.44447429586406,-25.55111256472655,11.194226732421576,9.398290636951415,12,8,-2.1
B,Rain,L,TAE,CJU,539.8203987947137,6.297977720032054,0,0,0,31.056878053274986,5.184700523780833,152.1162492566324,-9.979273942713874,8.45719025652404,14.620319352917404,1,22,2.48
A,Clear,S,ICN,ICN,661.6665662254995,9.763870726565631,0,0,0,22.007526542164893,6.072643782312372,105.66944163716248,2.463356059041017,6.004107392147151,3.1941929907186983,7,9,0.53
E,Rain,M,CJU,TAE,1062.1926026386204,16.93220263589918,0,0,0,20.512067687094437,7.149065684403871,120.06323454272176,-12.278224999335103,12.498963009630758,19.905053593852134,9,21,4.15
B,Clear,S,TAE,TAE,407.27090975205704,15.989194991799584,0,0,0,18.37079368675101,6.853254522759971,131.69954782783054,-3.899051307656302,3.5035550072760997,27.026351361540296,2,9,-19.32
C,Clear,L,PUS,TAE,606.6042322735568,21.40390449621868,0,0,0,31.44842917779411,9.697830634030044,119.27608453872696,15.656318157818555,6.229773583758589,13.96962741943724,9,14,18.51
B,Fog,L,PUS,ICN,298.4427858505169,12.047333507562586,1,1,1,18.910939978640283,6.306840533981452,176.26429853628292,2.3947676596481604,11.012808081525534,-11.150187684975243,11,23,-4.24
D,Snow,M,CJU,CJU,570.0266357713584,23.09200982891847,1,0,0,18.677808264092313,5.435451161070511,76.8097589945588,-1.4370722396647804,9.333319789316802,21.34692526351052,2,21,1.29
B,Snow,L,PUS,CJU,482.1953351211815,15.701054092963943,0,0,0,15.11449941172971,7.274112223249762,105.00125564531706,-6.7095926111466015,6.199899618502155,17.264428888749464,3,10,1.72
E,Snow,L,PUS,GMP,708.5821991167014,19.8946869109971,0,0,0,19.06487247100745,5.802172768997542,132.50326377734066,-1.8519310767927095,9.648453158109785,21.86323588979858,12,15,16.6
