,CLIENTNUM,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt
0,899900595,Attrited Customer,27,F,3,Doctorate,Divorced,$60K - $80K,Blue,18,3,4,4,16391.2,1607,2904.8,1.004,8599
1,756755036,Attrited Customer,52,F,1,Graduate,Married,Unknown,Blue,52,5,6,5,4838.4,1759,7177.4,0.315,4241
2,891100010,Existing Customer,27,M,2,College,Single,Less than $40K,Blue,31,4,5,3,9942.9,1562,16815.2,0.265,6837
3,827521863,Existing Customer,60,M,2,Unknown,Single,$60K - $80K,Blue,44,6,2,5,11322.1,639,23445.1,0.481,16871
4,855299516,Existing Customer,43,F,0,Post-Graduate,Married,Unknown,Blue,39,4,1,1,8496.6,2153,7921.2,0.336,16417
5,847532820,Existing Customer,39,M,0,College,Divorced,$80K - $120K,Blue,13,5,3,2,4973.9,164,13248.0,2.61,2556
6,833224038,Attrited Customer,45,F,4,Uneducated,Unknown,Unknown,Blue,55,3,1,0,8322.1,214,5714.1,1.702,11842
7,735788921,Existing Customer,43,M,1,Post-Graduate,Married,$60K - $80K,Blue,45,1,1,1,4789.6,1094,2135.2,1.232,5574
8,833120466,Existing Customer,35,F,0,Doctorate,Unknown,Less than $40K,Blue,52,2,6,1,2138.8,89,5706.5,1.481,9955
9,860953558,Existing Customer,50,F,0,High School,Unknown,Less than $40K,Blue,44,1,0,1,40911.8,1795,6169.1,3.166,1232
10,793410762,Existing Customer,27,F,5,College,Married,Unknown,Blue,17,2,4,4,2526.2,1251,9996.0,3.105,13799
11,791090292,Existing Customer,50,F,1,Unknown,Divorced,$60K - $80K,Silver,29,2,4,5,2038.8,1102,2238.2,2.462,15720
12,865850211,Existing Customer,58,M,4,Uneducated,Unknown,$40K - $60K,Blue,20,3,4,5,18302.8,607,3715.5,3.019,8074
13,776737383,Existing Customer,61,M,0,Doctorate,Married,$80K - $120K,Blue,54,5,0,6,4312.4,348,3668.2,1.155,8785
14,788358551,Existing Customer,56,F,4,Post-Graduate,Single,$80K - $120K,Blue,46,1,6,4,9843.4,245,22934.7,1.358,4329
15,811190146,Existing Customer,39,F,3,Doctorate,Single,$60K - $80K,Blue,21,5,2,2,4630.0,271,4608.2,2.125,3874
16,788409749,Existing Customer,26,M,4,College,Single,$40K - $60K,Blue,35,4,2,4,5411.5,2030,10348.2,2.158,4828
17,839199233,Existing Customer,71,M,2,Graduate,Married,Less than $40K,Blue,47,3,6,4,3869.7,402,10226.8,1.69,11989
18,848171095,Existing Customer,41,M,2,Unknown,Single,$120K +,Blue,19,3,3,4,4799.1,1465,2660.4,1.422,7908
19,785652971,Existing Customer,71,M,4,College,Unknown,$120K +,Silver,27,4,2,2,5668.6,1195,6438.3,3.354,2962
20,704521373,Existing Customer,28,M,2,High School,Single,$60K - $80K,Blue,32,1,6,6,11633.6,1079,16230.2,2.81,935
21,806683173,Existing Customer,60,M,3,College,Single,$40K - $60K,Blue,37,6,2,2,7169.9,1614,5013.1,1.535,14375
22,703344769,Existing Customer,66,F,1,Post-Graduate,Unknown,$40K - $60K,Blue,15,4,4,3,24435.4,1126,20817.9,2.5,14017
23,806328085,Existing Customer,31,M,2,Post-Graduate,Single,$80K - $120K,Blue,36,1,5,6,1780.3,283,2189.7,0.99,9309
24,730349564,Existing Customer,50,M,2,College,Unknown,Less than $40K,Blue,46,2,6,3,7032.4,516,1039.4,0.431,2634
25,799052376,Existing Customer,38,F,4,Post-Graduate,Single,Unknown,Blue,34,3,1,3,8458.9,1301,16044.1,1.263,18194
26,877077808,Existing Customer,59,M,3,Graduate,Unknown,$40K - $60K,Blue,23,1,2,3,21663.6,611,13672.5,1.43,5525
27,806406362,Attrited Customer,33,M,1,Doctorate,Single,Unknown,Gold,20,5,2,5,1841.3,749,34834.4,0.155,9167
