datetime,energy,temperature,humidity,is_weekend,is_holiday
2022-01-01 00:00:00,124.77,15.36,58.09,1,1
2022-01-01 01:00:00,124.63,17.17,63.45,1,1
2022-01-01 02:00:00,128.34,12.44,53.49,1,1
2022-01-01 03:00:00,144.19,20.11,54.3,1,1
2022-01-01 04:00:00,133.2,8.89,58.57,1,1
2022-01-01 05:00:00,149.4,19.41,53.24,1,1
2022-01-01 06:00:00,163.19,14.92,50.58,1,1
2022-01-01 07:00:00,169.97,18.07,52.63,1,1
2022-01-01 08:00:00,170.04,16.16,58.9,1,1
2022-01-01 09:00:00,181.81,16.12,63.28,1,1
2022-01-01 10:00:00,182.59,16.75,63.4,1,1
2022-01-01 11:00:00,186.72,17.52,68.1,1,1
2022-01-01 12:00:00,189.07,14.12,60.68,1,1
2022-01-01 13:00:00,181.05,18.22,61.37,1,1
2022-01-01 14:00:00,174.41,11.87,58.95,1,1
2022-01-01 15:00:00,178.54,15.11,59.21,1,1
2022-01-01 16:00:00,172.58,17.65,70.64,1,1
2022-01-01 17:00:00,172.83,18.13,61.55,1,1
2022-01-01 18:00:00,158.12,16.54,62.0,1,1
2022-01-01 19:00:00,146.23,13.98,54.55,1,1
2022-01-01 20:00:00,156.91,17.86,62.34,1,1
2022-01-01 21:00:00,138.9,13.17,63.6,1,1
2022-01-01 22:00:00,141.81,20.44,65.87,1,1
2022-01-01 23:00:00,127.33,14.94,63.48,1,1
2022-01-02 00:00:00,167.59,10.59,59.72,1,0
2022-01-02 01:00:00,173.06,11.63,59.52,1,0
2022-01-02 02:00:00,173.06,15.35,60.02,1,0
2022-01-02 03:00:00,186.01,15.65,60.93,1,0
2022-01-02 04:00:00,192.04,21.15,66.75,1,0
2022-01-02 05:00:00,193.88,12.13,65.78,1,0
2022-01-02 06:00:00,202.94,15.38,64.2,1,0
2022-01-02 07:00:00,220.59,12.09,70.6,1,0
2022-01-02 08:00:00,220.08,13.8,47.18,1,0
2022-01-02 09:00:00,226.5,20.34,58.18,1,0
2022-01-02 10:00:00,234.09,11.88,60.44,1,0
2022-01-02 11:00:00,231.17,17.06,57.15,1,0
2022-01-02 12:00:00,239.02,16.49,55.87,1,0
2022-01-02 13:00:00,226.28,15.25,51.95,1,0
2022-01-02 14:00:00,227.85,16.89,59.0,1,0
2022-01-02 15:00:00,226.77,11.86,65.04,1,0
2022-01-02 16:00:00,230.08,20.31,64.45,1,0
2022-01-02 17:00:00,220.7,21.13,56.84,1,0
2022-01-02 18:00:00,207.02,15.5,61.71,1,0
2022-01-02 19:00:00,204.03,22.64,67.41,1,0
2022-01-02 20:00:00,184.11,14.18,53.04,1,0
2022-01-02 21:00:00,183.57,16.59,59.86,1,0
2022-01-02 22:00:00,182.51,19.69,62.1,1,0
2022-01-02 23:00:00,182.48,14.03,60.73,1,0
2022-01-03 00:00:00,195.58,11.27,64.95,0,0
2022-01-03 01:00:00,185.39,10.59,53.22,0,0
2022-01-03 02:00:00,207.49,21.61,55.7,0,0
2022-01-03 03:00:00,202.33,13.85,64.15,0,0
