날짜,관측소,기온,강수량,풍속,습도
2024-01-01,AWS001,,4.4,4.7,nan
2024-01-02,AWS001,,0.6,3.3,39.0
2024-01-03,AWS001,,,4.7,90.0
2024-01-04,AWS001,-12.7,5.3,3.6,53.0
2024-01-05,AWS001,-9.0,0.8,5.0,50.0
2024-01-06,AWS001,-1.9,3.9,4.7,67.0
2024-01-07,AWS001,0.1,,5.9,50.0
2024-01-08,AWS001,2.2,,1.0,83.0
2024-01-09,AWS001,-1.1,6.3,4.5,51.0
2024-01-10,AWS001,-1.2,0.8,5.4,43.0
2024-01-11,AWS001,,4.5,2.0,67.0
2024-01-12,AWS001,6.0,4.2,2.1,66.0
2024-01-13,AWS001,-7.5,1.2,2.3,72.0
2024-01-14,AWS001,,,1.4,59.0
2024-01-15,AWS001,-6.9,1.9,3.6,74.0
2024-01-16,AWS001,0.7,3.4,0.2,64.0
2024-01-17,AWS001,-7.2,0.2,3.7,49.0
2024-01-18,AWS001,1.7,3.2,5.2,46.0
2024-01-19,AWS001,-1.4,4.6,1.6,87.0
2024-01-20,AWS001,6.7,2.2,0.5,39.0
2024-01-21,AWS001,,1.6,2.7,69.0
2024-01-22,AWS001,,0.5,2.0,93.0
2024-01-23,AWS001,-5.9,0.4,1.2,42.0
2024-01-24,AWS001,,1.1,0.8,93.0
2024-01-25,AWS001,,0.7,1.0,40.0
2024-01-26,AWS001,-9.6,1.6,1.4,39.0
2024-01-27,AWS001,-9.1,4.3,0.9,46.0
2024-01-28,AWS001,1.0,2.4,3.6,84.0
2024-01-29,AWS001,,0.9,5.5,69.0
2024-01-30,AWS001,-5.0,5.6,1.4,nan
2024-01-31,AWS001,-5.7,3.3,3.1,73.0
2024-02-01,AWS001,-5.5,0.3,6.0,77.0
2024-02-02,AWS001,-1.4,3.7,5.1,42.0
2024-02-03,AWS001,0.2,3.0,1.5,89.0
2024-02-04,AWS001,-12.5,2.8,2.6,61.0
2024-02-05,AWS001,5.1,1.9,1.0,82.0
2024-02-06,AWS001,4.7,3.0,2.9,67.0
2024-02-07,AWS001,-13.7,2.3,1.1,61.0
2024-02-08,AWS001,3.4,2.1,2.2,91.0
2024-02-09,AWS001,3.3,,0.3,51.0
2024-02-10,AWS001,-2.0,0.5,0.8,83.0
2024-02-11,AWS001,-8.5,4.1,2.3,53.0
2024-02-12,AWS001,3.1,0.1,0.7,68.0
2024-02-13,AWS001,,0.7,0.5,31.0
2024-02-14,AWS001,0.7,1.4,2.7,42.0
2024-02-15,AWS001,9.1,3.5,2.3,nan
2024-02-16,AWS001,-0.7,1.3,5.1,81.0
2024-02-17,AWS001,-6.6,3.3,1.6,30.0
2024-02-18,AWS001,-3.7,1.8,0.7,86.0
